Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,streetshow_acroyoga,Controller name:,acrobot_act,Duration:,299700,Created at,22/07/2026 18:53:52,,
Start positions,ArmL ArmR legL legR,4.04296875,4.04296875,183.0029296875,183.0029296875,0.0,0.0,0.0,0.0
sC,m_arm_r,0,5000,4.04296875,588,-0.17578125,4.04296875,-2567,0.87890625
sC,m_leg_r,0,5000,183.0029296875,1058,0.0,183.0029296875,-1250,0.0
sC,m_leg_l,0,5000,183.0029296875,1058,0.0,183.0029296875,-1250,0.0
sC,m_arm_l,0,5000,4.04296875,987,-0.3515625,4.04296875,-2567,0.87890625
sC,m_leg_r,5000,131433,183.0029296875,32857,0.0,183.0029296875,-32857,0.0
sC,m_leg_l,5000,131433,183.0029296875,32857,0.0,183.0029296875,-32857,0.0
sC,m_arm_l,5000,6133,4.04296875,987,-0.3515625,180.0,-1533,0.0
sC,m_arm_r,5000,5500,4.04296875,588,-0.17578125,126.5625,-1300,0.3515625
sC,m_arm_r,10500,4800,126.5625,3800,-0.87890625,126.5625,-1159,0.0
sC,m_arm_l,11133,4167,180.0,1041,0.0,180.0,-1041,0.0
sC,m_arm_l,15300,22733,180.0,5681,0.0,180.0,-5682,0.0
sC,m_arm_r,15300,7200,126.5625,1800,0.0,126.5625,-1800,0.0
sC,m_arm_r,22500,4767,126.5625,1191,0.0,204.2578125,-353,0.0
sC,m_arm_r,27267,1200,204.2578125,299,0.0,154.16015625,-291,0.0
sC,m_arm_r,28467,1233,154.16015625,308,0.0,204.2578125,-258,0.0
sC,m_arm_r,29700,1133,204.2578125,282,0.0,154.16015625,-337,0.0
sC,m_arm_r,30833,1200,154.16015625,299,0.0,204.2578125,-300,0.0
sC,m_arm_r,32033,934,204.2578125,226,0.0,165.5859375,-306,9.31640625
sC,m_arm_r,32967,433,165.5859375,163,-4.921875,180.0,-108,0.0
sC,m_arm_r,33400,53600,180.0,13399,0.0,180.0,-13399,0.0
sC,m_arm_l,38033,434,180.0,108,0.0,162.59765625,-108,0.0
sC,m_arm_l,38467,533,162.59765625,133,0.0,200.0390625,-133,0.0
sC,m_arm_l,39000,533,200.0390625,133,0.0,162.59765625,-133,0.0
sC,m_arm_l,39533,534,162.59765625,133,0.0,200.0390625,-133,0.0
sC,m_arm_l,40067,533,200.0390625,133,0.0,162.59765625,-133,0.0
sC,m_arm_l,40600,533,162.59765625,133,0.0,200.0390625,-133,0.0
sC,m_arm_l,41133,534,200.0390625,133,0.0,162.59765625,-133,0.0
sC,m_arm_l,41667,533,162.59765625,133,0.0,200.0390625,-133,0.0
sC,m_arm_l,42200,533,200.0390625,133,0.0,162.59765625,-124,0.0
sC,m_arm_l,42733,2500,162.59765625,620,0.0,162.59765625,-610,0.0
sC,m_arm_l,45233,3334,162.59765625,443,0.0,148.53515625,-1226,0.0
sC,m_arm_l,48567,12600,148.53515625,2966,0.17578125,148.53515625,-3141,-3.515625
sC,m_arm_l,61167,266,148.53515625,88,0.17578125,142.55859375,-89,0.0
sC,m_arm_l,61433,267,142.55859375,67,0.0,148.53515625,-66,0.0
sC,m_arm_l,61700,267,148.53515625,66,0.0,142.55859375,-66,0.0
sC,m_arm_l,61967,266,142.55859375,66,0.0,148.53515625,-91,0.0
sC,m_arm_l,62233,21134,148.53515625,5240,0.0,148.53515625,-1172,0.0
sC,m_arm_l,83367,3633,148.53515625,908,0.0,180.0,-908,0.0
sC,m_arm_l,87000,2700,180.0,675,0.0,180.0,-675,0.0
sC,m_arm_r,87000,967,180.0,309,0.0,136.93359375,-335,0.0
sC,m_arm_r,87967,10466,136.93359375,2808,0.0,136.93359375,-2616,0.0
sC,m_arm_l,89700,1867,180.0,573,0.0,8.96484375,-669,0.0
sC,m_arm_l,91567,6866,8.96484375,1964,0.0,8.96484375,-1716,0.0
sC,m_arm_r,98433,934,136.93359375,233,0.0,8.96484375,-233,0.0
sC,m_arm_l,98433,934,8.96484375,233,0.0,136.93359375,-233,0.0
