Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_sequence_1,Controller name:,acrobot_act,Duration:,648000,Created at,01/11/2024 11:45:09,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,567,180.0,141,0.0,163.828125,-141,0.0
sC,m_arm_r,0,567,180.0,141,0.0,163.828125,-141,0.0
sC,m_leg_l,0,16200,185.01708984375,4050,0.0,185.01708984375,-4050,0.0
sC,m_leg_r,0,16200,185.01708984375,4050,0.0,185.01708984375,-4050,0.0
sC,m_arm_l,567,533,163.828125,133,0.0,180.0,-133,0.0
sC,m_arm_r,567,533,163.828125,133,0.0,180.0,-133,0.0
sC,m_arm_r,1100,400,180.0,100,0.0,163.828125,-100,0.0
sC,m_arm_l,1100,400,180.0,100,0.0,163.828125,-100,0.0
sC,m_arm_l,1500,533,163.828125,133,0.0,180.0,-133,0.0
sC,m_arm_r,1500,533,163.828125,133,0.0,180.0,-133,0.0
sC,m_arm_l,2033,267,180.0,66,0.0,180.0,-66,0.0
sC,m_arm_r,2033,267,180.0,66,0.0,180.0,-66,0.0
sC,m_arm_r,2300,200,180.0,50,0.0,163.828125,-50,0.0
sC,m_arm_l,2300,200,180.0,50,0.0,163.828125,-50,0.0
sC,m_arm_l,2500,133,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_r,2500,133,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_l,2633,167,163.828125,41,0.0,180.0,-41,0.0
sC,m_arm_r,2633,167,163.828125,41,0.0,180.0,-41,0.0
sC,m_arm_r,2800,200,180.0,50,0.0,180.0,-50,0.0
sC,m_arm_l,2800,200,180.0,50,0.0,180.0,-50,0.0
sC,m_arm_r,3000,200,180.0,50,0.0,163.828125,-50,0.0
sC,m_arm_l,3000,200,180.0,50,0.0,163.828125,-50,0.0
sC,m_arm_r,3200,133,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_l,3200,133,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_r,3333,167,163.828125,41,0.0,180.0,-41,0.0
sC,m_arm_l,3333,167,163.828125,41,0.0,180.0,-41,0.0
sC,m_arm_r,3500,200,180.0,50,0.0,180.0,-50,0.0
sC,m_arm_l,3500,200,180.0,50,0.0,180.0,-50,0.0
sC,m_arm_r,3700,133,180.0,33,0.0,163.828125,-33,0.0
sC,m_arm_l,3700,133,180.0,33,0.0,163.828125,-33,0.0
sC,m_arm_l,3833,134,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_r,3833,134,163.828125,33,0.0,163.828125,-33,0.0
sC,m_arm_l,3967,100,163.828125,25,0.0,180.0,-25,0.0
sC,m_arm_r,3967,100,163.828125,25,0.0,180.0,-25,0.0
sC,m_arm_l,4067,133,180.0,33,0.0,151.259765625,-33,0.0
sC,m_arm_r,4067,133,180.0,33,0.0,151.259765625,-33,0.0
sC,m_arm_l,4200,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_r,4200,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_r,4367,433,151.259765625,108,0.0,180.0,-108,0.0
sC,m_arm_l,4367,433,151.259765625,108,0.0,180.0,-108,0.0
sC,m_arm_r,4800,167,180.0,41,0.0,180.0,-41,0.0
sC,m_arm_l,4800,167,180.0,41,0.0,180.0,-41,0.0
sC,m_arm_r,4967,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_l,4967,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_l,5200,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_r,5200,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_l,5367,133,151.259765625,33,0.0,180.0,-33,0.0
sC,m_arm_r,5367,133,151.259765625,33,0.0,180.0,-33,0.0
sC,m_arm_r,5500,267,180.0,66,0.0,180.0,-66,0.0
sC,m_arm_l,5500,267,180.0,66,0.0,180.0,-66,0.0
sC,m_arm_l,5767,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_r,5767,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_r,6000,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_l,6000,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_l,6167,133,151.259765625,33,0.0,180.0,-33,0.0
sC,m_arm_r,6167,133,151.259765625,33,0.0,180.0,-33,0.0
sC,m_arm_r,6300,67,180.0,16,0.0,180.0,-16,0.0
sC,m_arm_l,6300,67,180.0,16,0.0,180.0,-16,0.0
sC,m_arm_l,6367,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_r,6367,233,180.0,58,0.0,151.259765625,-58,0.0
sC,m_arm_l,6600,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_r,6600,167,151.259765625,41,0.0,151.259765625,-41,0.0
sC,m_arm_l,6767,133,151.259765625,33,0.0,180.0,-33,0.0
sC,m_arm_r,6767,133,151.259765625,33,0.0,180.0,-33,0.0
